RadioRA 2 Integration Report

Device Room, Device Location, Device name, Model, ID, Component, Component Number, Name

Den, REP1, Enclosure Device 001, RR-MAIN-REP-WH, 1
, , , , , Button 1, 1, WHA Chill
, , , , , Button 2, 2, WHA Clean
, , , , , Button 3, 3, #5 WHA Day
, , , , , Button 4, 4, WHA Night
, , , , , Button 5, 5, WHA Off
, , , , , Button 6, 6, WHA Party
, , , , , Button 7, 7, WHA Supp
, , , , , Button 8, 8, WHA TV
, , , , , Button 9, 9, 
, , , , , Button 10, 10, 
, , , , , Button 11, 11, DenLamp Chill
, , , , , Button 12, 12, DenLamp Clean
, , , , , Button 13, 13, #15 DenLamp Day
, , , , , Button 14, 14, #15 DenLamp Night
, , , , , Button 15, 15, DenLamp Off
, , , , , Button 16, 16, DenLamp Party
, , , , , Button 17, 17, DenLamp Supp
, , , , , Button 18, 18, #15 DenLamp TV
, , , , , Button 19, 19, 
, , , , , Button 20, 20, 
, , , , , Button 21, 21, Kitchen Chill
, , , , , Button 22, 22, Kitchen Clean
, , , , , Button 23, 23, #25 Kitchen Day
, , , , , Button 24, 24, #25 Kitchen Night
, , , , , Button 25, 25, Kitchen Off
, , , , , Button 26, 26, Kitchen Party
, , , , , Button 27, 27, Kitchen Supp
, , , , , Button 28, 28, Kitchen TV
, , , , , Button 29, 29, Kitchen Cook
, , , , , Button 30, 30, 
, , , , , Button 31, 31, His Chill
, , , , , Button 32, 32, #33 Den Clean
, , , , , Button 33, 33, His Day
, , , , , Button 34, 34, His Night
, , , , , Button 35, 35, His Off
, , , , , Button 36, 36, #33 His Party
, , , , , Button 37, 37, #33 His Supp
, , , , , Button 38, 38, #31 His TV
, , , , , Button 39, 39, 
, , , , , Button 40, 40, 
, , , , , Button 41, 41, Den Chill
, , , , , Button 42, 42, Den Clean
, , , , , Button 43, 43, #45 Den Day
, , , , , Button 44, 44, #45 Den Night
, , , , , Button 45, 45, Den Off
, , , , , Button 46, 46, Den Party
, , , , , Button 47, 47, Den Supp
, , , , , Button 48, 48, Den TV
, , , , , Button 49, 49, 
, , , , , Button 50, 50, 
, , , , , Button 51, 51, Guest Chill
, , , , , Button 52, 52, Guest Clean
, , , , , Button 53, 53, #55 Guest Day
, , , , , Button 54, 54, #55 Guest Night
, , , , , Button 55, 55, Guest Off
, , , , , Button 56, 56, Guest Party
, , , , , Button 57, 57, Guest Supp
, , , , , Button 58, 58, Guest TV
, , , , , Button 59, 59, 
, , , , , Button 60, 60, 
, , , , , Button 61, 61, LhsBath Chill
, , , , , Button 62, 62, LhsBath Clean
, , , , , Button 63, 63, LhsBath Day
, , , , , Button 64, 64, LhsBath Night
, , , , , Button 65, 65, LhsBath Off
, , , , , Button 66, 66, LhsBath Party
, , , , , Button 67, 67, LhsBath Supp
, , , , , Button 68, 68, LhsBath TV
, , , , , Button 69, 69, 
, , , , , Button 70, 70, 
, , , , , Button 71, 71, RhsBath Chill
, , , , , Button 72, 72, RhsBath Clean
, , , , , Button 73, 73, RhsBath Day
, , , , , Button 74, 74, RhsBath Night
, , , , , Button 75, 75, RhsBath Off
, , , , , Button 76, 76, RhsBath Party
, , , , , Button 77, 77, RhsBath Supp
, , , , , Button 78, 78, RhsBath TV
, , , , , Button 79, 79, 
, , , , , Button 80, 80, 
, , , , , Button 81, 81, Main Chill
, , , , , Button 82, 82, Main Clean
, , , , , Button 83, 83, #85 Main Day
, , , , , Button 84, 84, Main Night
, , , , , Button 85, 85, Main Off
, , , , , Button 86, 86, Main Party
, , , , , Button 87, 87, Main Supp
, , , , , Button 88, 88, Main TV
, , , , , Button 89, 89, Main Play
, , , , , Button 90, 90, 
, , , , , Button 91, 91, Hers Chill
, , , , , Button 92, 92, #93 Hers Clean
, , , , , Button 93, 93, Hers Day
, , , , , Button 94, 94, Hers Night
, , , , , Button 95, 95, Hers Off
, , , , , Button 96, 96, #93 Hers Party
, , , , , Button 97, 97, #93 Hers Supp
, , , , , Button 98, 98, #91 Hers TV
, , , , , Button 99, 99, 
, , , , , Button 100, 100, 
, , , , , Led 1, 101
, , , , , Led 2, 102
, , , , , Led 3, 103
, , , , , Led 4, 104
, , , , , Led 5, 105
, , , , , Led 6, 106
, , , , , Led 7, 107
, , , , , Led 8, 108
, , , , , Led 9, 109
, , , , , Led 10, 110
, , , , , Led 11, 111
, , , , , Led 12, 112
, , , , , Led 13, 113
, , , , , Led 14, 114
, , , , , Led 15, 115
